user,first_open_date,first_open_hours,first_open_month,first_open_year,dayofweek,age,numscreens,minigame,used_premium_feature,enrolled,liked,enrolled_date,C_check,L_check,S_check,V_check,G_check
235136,2012-12-27,2,12,0,3,23,15,0,0,0,0,,0,1,0,1,1
333588,2012-12-02,1,12,0,6,24,13,0,0,0,0,,0,1,0,1,1
254414,2013-03-19,19,3,1,1,23,3,0,1,0,1,,0,1,0,0,0
234192,2013-07-05,16,7,1,4,28,40,0,0,1,0,2013-07-05,1,1,0,1,1
51549,2013-02-26,18,2,1,1,31,32,0,0,1,1,2013-02-26,1,1,0,1,1
56480,2013-04-03,9,4,1,2,20,14,0,0,1,0,2013-04-03,1,1,0,1,1
144649,2012-12-25,2,12,0,1,35,3,0,0,0,0,,0,0,0,0,0
249366,2012-12-11,3,12,0,1,26,41,0,1,0,0,,1,1,1,1,0
372004,2013-03-20,14,3,1,2,29,33,1,1,1,0,2013-04-27,0,1,0,1,1
338013,2013-04-26,18,4,1,4,26,19,0,0,1,0,2013-04-26,0,1,0,1,1
43555,2013-05-14,4,5,1,1,39,14,0,0,1,0,2013-05-15,0,1,0,0,1
317454,2013-05-28,11,5,1,1,32,25,1,1,0,0,,1,1,0,1,1
205375,2012-12-17,6,12,0,0,25,11,0,0,0,0,,0,0,0,1,1
307608,2013-05-25,19,5,1,5,23,4,0,0,1,0,2013-06-18,1,0,0,0,0
359855,2013-02-18,4,2,1,0,17,9,0,0,0,0,,0,0,0,0,0
284938,2013-02-02,18,2,1,5,25,26,1,0,1,0,2013-04-29,0,1,0,1,1
235143,2013-07-07,16,7,1,6,21,6,0,0,1,0,2013-07-08,0,0,0,1,1
141402,2013-02-02,21,2,1,5,55,20,0,0,1,0,2013-02-11,0,1,0,1,1
257945,2013-05-10,5,5,1,4,32,15,0,0,1,1,2013-05-11,0,1,0,1,1
54931,2013-07-06,17,7,1,5,25,5,0,0,1,0,2013-07-06,0,1,0,0,1
165432,2013-05-24,9,5,1,4,28,8,0,1,1,0,2013-05-26,0,1,0,0,1
236951,2013-04-20,4,4,1,5,38,42,0,1,0,0,,1,1,0,1,1
110461,2013-06-08,17,6,1,5,31,9,1,0,1,0,2013-06-08,1,0,0,1,1
200187,2013-05-12,2,5,1,6,27,42,0,0,1,1,2013-05-12,1,1,0,1,1
180427,2013-05-19,20,5,1,6,48,1,1,0,1,0,2013-05-21,0,0,0,0,0
359383,2013-06-23,18,6,1,6,37,38,0,0,1,0,2013-06-23,1,1,0,1,1
9810,2013-06-03,16,6,1,0,22,49,1,0,1,0,2013-06-03,0,1,0,1,1
85089,2013-01-23,1,1,1,2,35,35,0,0,1,0,2013-02-24,1,1,1,1,1
143818,2013-05-14,11,5,1,1,32,19,0,1,1,0,2013-05-14,1,1,0,1,1
210060,2013-04-27,17,4,1,5,20,10,0,0,0,0,,0,1,0,1,1
317171,2013-06-29,0,6,1,5,23,52,0,0,1,0,2013-06-29,1,1,0,1,1
198725,2013-03-27,2,3,1,2,25,50,0,0,1,1,2013-03-27,1,1,0,1,1
95362,2013-02-10,20,2,1,6,23,76,0,0,1,0,2013-02-10,1,1,1,1,1
84738,2013-03-25,4,3,1,0,31,37,0,0,1,0,2013-03-25,1,1,0,1,1
74128,2013-01-21,18,1,1,0,26,16,1,0,1,0,2013-01-21,0,1,0,1,1
15995,2013-06-20,21,6,1,3,21,32,0,0,1,0,2013-06-20,1,1,0,1,1
310250,2013-05-04,22,5,1,5,36,47,0,0,0,0,,1,1,0,0,1
133014,2013-03-14,16,3,1,3,24,16,0,0,1,0,2013-03-14,1,1,0,1,1
280456,2013-05-05,22,5,1,6,25,40,0,0,1,0,2013-05-05,1,1,0,1,1
133810,2013-05-27,10,5,1,0,23,33,0,0,1,0,2013-05-27,1,1,0,1,1
171351,2013-02-19,6,2,1,1,25,90,0,0,1,0,2013-02-19,1,1,1,1,1
342983,2013-07-02,8,7,1,1,23,13,0,1,0,0,,1,1,0,0,1
62638,2012-12-25,8,12,0,1,25,24,0,0,0,0,,1,0,1,1,1
341292,2013-05-27,0,5,1,0,25,45,0,1,1,1,2013-05-27,1,1,0,1,1
349927,2013-04-17,15,4,1,2,21,20,0,0,1,1,2013-04-17,0,1,0,1,1
67588,2013-06-18,2,6,1,1,30,31,0,0,0,0,,1,1,0,1,1
315393,2013-04-06,0,4,1,5,26,24,0,0,1,0,2013-04-06,1,1,0,1,1
23425,2013-03-08,13,3,1,4,40,16,0,0,1,0,2013-03-08,1,0,1,1,1
298577,2013-01-11,20,1,1,4,24,39,0,1,0,0,,1,1,0,1,1
357863,2013-05-25,8,5,1,5,26,17,0,0,1,0,2013-05-28,0,1,0,0,1
21700,2013-05-01,4,5,1,2,33,28,0,1,1,1,2013-05-01,0,0,0,1,1
